starttime,detector_id,speed,volume,traveltime
2020-06-01T00:00:00-07:00,100599,46.91,9882,40.67
2020-06-01T00:00:00-07:00,100636,60.46,10758,0.27
2020-06-01T00:00:00-07:00,100290,53.46,7648,0.85
2020-06-01T00:00:00-07:00,5647,5.92,9930,16.62
2020-06-01T00:00:00-07:00,100769,66.84,10287,0.29
2020-06-01T00:00:00-07:00,1000020,56.21,10216,0.4
2020-06-01T00:00:00-07:00,5070,59.95,4995,0.65
2020-06-01T00:00:00-07:00,102214,67.05,7575,0.69
2020-06-01T00:00:00-07:00,102215,59.27,11928,0.81
2020-06-01T00:00:00-07:00,102216,57.82,12307,0.84
2020-06-01T00:00:00-07:00,5787,52.21,15804,0.97
2020-06-01T00:00:00-07:00,1000019,59.48,3418,0.38
2020-06-01T00:00:00-07:00,100313,55.38,7412,0.49
2020-06-01T00:00:00-07:00,100307,57.42,17519,0.2
2020-06-01T00:00:00-07:00,5128,54.78,12706,0.64
2020-06-01T00:00:00-07:00,101040,65.24,5344,1.12
2020-06-01T00:00:00-07:00,102217,67.35,8493,0.72
2020-06-01T00:00:00-07:00,1000159,69.23,13208,0.38
2020-06-01T00:00:00-07:00,100369,52.17,12043,1.09
2020-06-01T00:00:00-07:00,1000146,73.33,11249,0.39
2020-06-01T00:00:00-07:00,5646,0.53,2654,185.66
2020-06-01T00:00:00-07:00,102218,55.17,1724,0.35
2020-06-01T00:00:00-07:00,102219,61.92,720,0.31
2020-06-01T00:00:00-07:00,100962,69.61,9201,0.34
2020-06-01T00:00:00-07:00,1000018,59.75,7820,0.49
2020-06-01T00:00:00-07:00,100602,45.94,3987,0.13
2020-06-01T00:00:00-07:00,102220,59.6,2717,0.32
2020-06-01T00:00:00-07:00,100635,57.97,5354,0.28
2020-06-01T00:00:00-07:00,5645,1.69,13260,58.22
2020-06-01T00:00:00-07:00,100812,41.4,11669,0.86
2020-06-01T00:00:00-07:00,1000017,57.76,11899,0.5
2020-06-01T00:00:00-07:00,101023,52.58,13459,1.64
2020-06-01T00:00:00-07:00,100331,54.62,6718,0.25
2020-06-01T00:00:00-07:00,1000147,51.23,15661,0.53
2020-06-01T00:00:00-07:00,102221,54.83,2305,0.91
2020-06-01T00:00:00-07:00,100071,41.75,5416,0.24
2020-06-01T00:00:00-07:00,1000016,59.82,9932,0.64
2020-06-01T00:00:00-07:00,102222,57.73,823,0.86
2020-06-01T00:00:00-07:00,100554,71.83,9989,1.29
2020-06-01T00:00:00-07:00,102232,61.69,11814,0.42
2020-06-01T00:00:00-07:00,100634,42.08,1274,47.71
2020-06-01T00:00:00-07:00,5129,56.35,11032,0.62
2020-06-01T00:00:00-07:00,101129,64.41,8782,0.72
2020-06-01T00:00:00-07:00,100445,60.25,13936,0.93
2020-06-01T00:00:00-07:00,5644,64.54,12142,28.15
