starttime,detector_id,speed,volume,traveltime
2020-02-01T00:00:00-08:00,5672,58.78,14520,0.79
2020-02-01T00:00:00-08:00,102215,58.12,12723,0.83
2020-02-01T00:00:00-08:00,5760,59.88,6542,1.07
2020-02-01T00:00:00-08:00,1000060,63.6,12666,0.75
2020-02-01T00:00:00-08:00,5030,59.93,10680,0.62
2020-02-01T00:00:00-08:00,5759,59.63,8679,0.37
2020-02-01T00:00:00-08:00,1000061,68.87,8979,0.69
2020-02-01T00:00:00-08:00,101176,71.11,7302,0.95
2020-02-01T00:00:00-08:00,100839,58.33,9929,0.67
2020-02-01T00:00:00-08:00,5758,59.83,6802,0.37
2020-02-01T00:00:00-08:00,1000062,63.07,12114,0.51
2020-02-01T00:00:00-08:00,101175,65.76,12302,1.02
2020-02-01T00:00:00-08:00,102098,60.53,14750,0.57
2020-02-01T00:00:00-08:00,1000099,59.5,13084,0.49
2020-02-01T00:00:00-08:00,5673,59.87,10631,0.77
2020-02-01T00:00:00-08:00,100840,50.45,14118,0.77
2020-02-01T00:00:00-08:00,101062,54.59,20279,0.21
2020-02-01T00:00:00-08:00,5757,59.99,6766,0.37
2020-02-01T00:00:00-08:00,100879,44.94,16134,0.51
2020-02-01T00:00:00-08:00,101141,52.83,11774,0.78
2020-02-01T00:00:00-08:00,100329,45.92,21663,0.41
2020-02-01T00:00:00-08:00,1000063,68.4,9595,0.47
2020-02-01T00:00:00-08:00,100977,58.83,8874,1.24
2020-02-01T00:00:00-08:00,100614,59.78,14778,4.2
2020-02-01T00:00:00-08:00,101174,62.77,5527,1.07
2020-02-01T00:00:00-08:00,100841,68.39,11660,0.57
2020-02-01T00:00:00-08:00,5756,59.1,14973,0.38
2020-02-01T00:00:00-08:00,1000064,47.25,16106,0.6
2020-02-01T00:00:00-08:00,1000098,60,8840,0.63
2020-02-01T00:00:00-08:00,5675,59.18,13498,0.78
2020-02-01T00:00:00-08:00,5007,53.33,23092,0.54
2020-02-01T00:00:00-08:00,101173,67.25,9088,0.7
2020-02-01T00:00:00-08:00,100842,53.22,9316,0.87
2020-02-01T00:00:00-08:00,5752,65.8,10364,0.52
2020-02-01T00:00:00-08:00,100878,43.49,13330,0.52
2020-02-01T00:00:00-08:00,101143,50.98,18446,0.52
2020-02-01T00:00:00-08:00,1000065,69.14,11782,0.41
2020-02-01T00:00:00-08:00,102216,55.72,11324,0.87
2020-02-01T00:00:00-08:00,1000184,69.23,7944,0.95
2020-02-01T00:00:00-08:00,101046,63.79,13224,1.55
2020-02-01T00:00:00-08:00,5751,62.47,15656,0.55
2020-02-01T00:00:00-08:00,1000066,62.32,15037,0.44
2020-02-01T00:00:00-08:00,1000097,59.23,15211,0.64
2020-02-01T00:00:00-08:00,5676,58.34,19194,0.79
2020-02-01T00:00:00-08:00,101172,62.16,14133,0.76
2020-02-01T00:00:00-08:00,100843,55.58,15238,0.84
2020-02-01T00:00:00-08:00,5750,59.36,16038,0.58
2020-02-01T00:00:00-08:00,1000067,67.5,12571,0.4
2020-02-01T00:00:00-08:00,100328,46.02,5216,0.4
2020-02-01T00:00:00-08:00,100877,46.89,15597,0.35
2020-02-01T00:00:00-08:00,101144,51.71,18222,0.52
2020-02-01T00:00:00-08:00,101171,59.83,10107,0.79
2020-02-01T00:00:00-08:00,100844,60.25,12276,0.77
2020-02-01T00:00:00-08:00,5744,70.11,11891,0.49
2020-02-01T00:00:00-08:00,102168,63.76,12569,0.75
2020-02-01T00:00:00-08:00,1000096,59.64,6556,0.64
2020-02-01T00:00:00-08:00,5677,60.06,13604,0.77
2020-02-01T00:00:00-08:00,100549,63.12,14869,1.03
2020-02-01T00:00:00-08:00,1000068,65.6,16951,2.19
2020-02-01T00:00:00-08:00,101170,72.51,9166,0.88
2020-02-01T00:00:00-08:00,100845,61.69,6987,1.58
2020-02-01T00:00:00-08:00,5743,66.17,17358,0.52
2020-02-01T00:00:00-08:00,5031,57.72,16560,0.64
2020-02-01T00:00:00-08:00,1000069,70.56,13445,2.03
2020-02-01T00:00:00-08:00,101169,65.97,16249,0.96
2020-02-01T00:00:00-08:00,100876,49.61,11828,0.33
2020-02-01T00:00:00-08:00,101146,53.14,3837,1.07
2020-02-01T00:00:00-08:00,102147,61.89,8155,0.73
2020-02-01T00:00:00-08:00,100846,66.87,3937,1.46
2020-02-01T00:00:00-08:00,5742,61.95,13897,0.55
2020-02-01T00:00:00-08:00,1000095,57.88,18705,0.66
2020-02-01T00:00:00-08:00,5678,57.28,14559,0.58
2020-02-01T00:00:00-08:00,102118,61.54,4333,1.02
2020-02-01T00:00:00-08:00,1000070,65.29,8783,27.48
2020-02-01T00:00:00-08:00,101168,63.87,8905,1
2020-02-01T00:00:00-08:00,102097,58.88,16283,0.58
2020-02-01T00:00:00-08:00,5739,69.47,13807,0.74
2020-02-01T00:00:00-08:00,1000071,67.34,16538,26.64
2020-02-01T00:00:00-08:00,1000185,65.71,16048,1
2020-02-01T00:00:00-08:00,1000171,54.49,14801,1.02
2020-02-01T00:00:00-08:00,100847,66.79,12411,0.64
2020-02-01T00:00:00-08:00,5738,68.08,18522,0.75
2020-02-01T00:00:00-08:00,100625,40.84,16101,0.6
2020-02-01T00:00:00-08:00,1000072,69.43,12285,25.84
2020-02-01T00:00:00-08:00,101167,65.74,8364,2.18
2020-02-01T00:00:00-08:00,1000094,59.99,6772,0.99
2020-02-01T00:00:00-08:00,5679,56.39,15070,0.59
2020-02-01T00:00:00-08:00,100445,59.75,13200,0.94
2020-02-01T00:00:00-08:00,100848,72.44,5813,0.59
2020-02-01T00:00:00-08:00,101048,54.48,14628,0.92
2020-02-01T00:00:00-08:00,100875,66.77,12794,1.04
2020-02-01T00:00:00-08:00,101147,53.78,7696,1.06
2020-02-01T00:00:00-08:00,5737,65.55,12447,0.78
2020-02-01T00:00:00-08:00,5006,59.82,9339,0.51
2020-02-01T00:00:00-08:00,1000073,62.16,12990,0.83
2020-02-01T00:00:00-08:00,101004,62.96,11551,0.3
2020-02-01T00:00:00-08:00,101166,60.17,15242,2.38
2020-02-01T00:00:00-08:00,100979,53.74,12487,1.3
2020-02-01T00:00:00-08:00,100857,52.7,15167,1.74
2020-02-01T00:00:00-08:00,5736,69.45,14248,0.77
2020-02-01T00:00:00-08:00,100563,66.68,14387,0.32
2020-02-01T00:00:00-08:00,1000093,58.74,15673,1.01
2020-02-01T00:00:00-08:00,5680,59.32,9853,0.56
2020-02-01T00:00:00-08:00,102217,66.82,7024,0.72
2020-02-01T00:00:00-08:00,1000074,66.35,18276,0.77
2020-02-01T00:00:00-08:00,101165,59.88,9157,2.39
2020-02-01T00:00:00-08:00,101060,62.59,12976,0.77
2020-02-01T00:00:00-08:00,100858,58.78,13316,1.56
2020-02-01T00:00:00-08:00,100874,63.22,13366,1.1
2020-02-01T00:00:00-08:00,101148,57.1,9017,1
2020-02-01T00:00:00-08:00,5735,67.84,17894,0.79
2020-02-01T00:00:00-08:00,1000075,69.16,13240,0.74
2020-02-01T00:00:00-08:00,101164,64.15,6432,1.97
2020-02-01T00:00:00-08:00,100859,58.34,10201,1.57
2020-02-01T00:00:00-08:00,100327,68.35,5926,0.08
2020-02-01T00:00:00-08:00,1000092,60.02,6240,0.96
2020-02-01T00:00:00-08:00,5691,55.87,23006,0.74
2020-02-01T00:00:00-08:00,100559,61.78,11704,1.99
2020-02-01T00:00:00-08:00,5734,64.95,11970,0.83
2020-02-01T00:00:00-08:00,1000076,64.06,12748,0.44
2020-02-01T00:00:00-08:00,102096,54.12,6640,0.63
2020-02-01T00:00:00-08:00,101163,58.35,6523,2.17
2020-02-01T00:00:00-08:00,100860,56.63,11942,1.4
2020-02-01T00:00:00-08:00,102218,48.36,2918,0.4
2020-02-01T00:00:00-08:00,100873,61.84,8924,1.12
2020-02-01T00:00:00-08:00,101149,61.28,7457,0.93
2020-02-01T00:00:00-08:00,5733,69.24,14258,0.55
2020-02-01T00:00:00-08:00,1000077,66.09,19873,0.43
2020-02-01T00:00:00-08:00,100626,44.03,15044,0.56
2020-02-01T00:00:00-08:00,1000091,59.15,12368,0.98
2020-02-01T00:00:00-08:00,5692,59.1,13347,0.7
2020-02-01T00:00:00-08:00,101162,53.9,2567,2.35
2020-02-01T00:00:00-08:00,100861,59.98,14300,1.33
2020-02-01T00:00:00-08:00,101061,57.07,6698,0.21
2020-02-01T00:00:00-08:00,5732,66.23,19865,0.57
2020-02-01T00:00:00-08:00,1000078,68.66,13724,0.41
2020-02-01T00:00:00-08:00,100978,52.98,10963,1.32
2020-02-01T00:00:00-08:00,101161,67.35,8141,0.74
2020-02-01T00:00:00-08:00,100862,63.77,11838,1.25
2020-02-01T00:00:00-08:00,101031,53.33,11295,0.22
2020-02-01T00:00:00-08:00,100872,71.19,7631,1.07
2020-02-01T00:00:00-08:00,101150,48.6,20820,0.49
2020-02-01T00:00:00-08:00,5731,64.82,12819,0.58
2020-02-01T00:00:00-08:00,1000079,63.91,14150,0.93
2020-02-01T00:00:00-08:00,1000090,59.94,6253,0.95
2020-02-01T00:00:00-08:00,5707,52.97,16652,3.08
2020-02-01T00:00:00-08:00,100326,63.21,5525,0.09
2020-02-01T00:00:00-08:00,101160,64.85,9405,0.77
2020-02-01T00:00:00-08:00,100863,51.25,16640,1.07
2020-02-01T00:00:00-08:00,101047,69.09,13518,1.43
2020-02-01T00:00:00-08:00,5730,69.46,14522,0.55
2020-02-01T00:00:00-08:00,1000080,65.6,19640,0.91
2020-02-01T00:00:00-08:00,101158,57.16,16834,0.48
2020-02-01T00:00:00-08:00,100864,56.32,13129,0.97
2020-02-01T00:00:00-08:00,100991,49.97,10837,1.15
2020-02-01T00:00:00-08:00,5729,67.46,17290,0.56
2020-02-01T00:00:00-08:00,1000081,69.21,13402,0.86
2020-02-01T00:00:00-08:00,102167,70.49,12182,0.78
