starttime,detector_id,speed,volume,traveltime
2019-11-01T00:00:00-07:00,102178,57.22,7287,0.45
2019-11-01T00:00:00-07:00,100869,55.14,16113,1.5
2019-11-01T00:00:00-07:00,101987,47.65,14211,0.95
2019-11-01T00:00:00-07:00,100645,56.95,14415,0.36
2019-11-01T00:00:00-07:00,1000110,58.24,16197,1.06
2019-11-01T00:00:00-07:00,1000037,58.24,11415,0.53
2019-11-01T00:00:00-07:00,101986,51.25,15327,0.88
2019-11-01T00:00:00-07:00,101039,59.67,10177,1.22
2019-11-01T00:00:00-07:00,101985,54.08,16830,0.84
2019-11-01T00:00:00-07:00,100868,55.87,17457,1.48
2019-11-01T00:00:00-07:00,100283,44.58,16903,1.22
2019-11-01T00:00:00-07:00,101984,58.11,15136,0.78
2019-11-01T00:00:00-07:00,100990,43.39,11786,1.33
2019-11-01T00:00:00-07:00,101971,60.48,10348,0.41
2019-11-01T00:00:00-07:00,100867,60.45,10792,1.57
2019-11-01T00:00:00-07:00,5648,3.41,15316,28.86
2019-11-01T00:00:00-07:00,100840,49.09,15269,0.79
2019-11-01T00:00:00-07:00,1000109,56.38,11073,1.09
2019-11-01T00:00:00-07:00,100328,43.34,8338,0.43
2019-11-01T00:00:00-07:00,101970,56.91,15619,0.43
2019-11-01T00:00:00-07:00,100018,43.44,19499,0.32
2019-11-01T00:00:00-07:00,100118,44.11,17689,0.82
2019-11-01T00:00:00-07:00,100802,62.95,14047,0.9
2019-11-01T00:00:00-07:00,101969,52.85,16801,0.47
2019-11-01T00:00:00-07:00,100646,58.48,13047,0.35
2019-11-01T00:00:00-07:00,5782,54.93,6988,0.98
2019-11-01T00:00:00-07:00,101968,48.45,14589,0.44
2019-11-01T00:00:00-07:00,1000060,50.68,15763,0.94
2019-11-01T00:00:00-07:00,101967,46.34,16914,0.46
2019-11-01T00:00:00-07:00,1000104,45.28,5448,1.25
2019-11-01T00:00:00-07:00,101966,35.48,14395,253.89
2019-11-01T00:00:00-07:00,5671,57.38,13739,0.81
2019-11-01T00:00:00-07:00,100647,56.42,6829,0.68
2019-11-01T00:00:00-07:00,100299,41.94,16614,0.83
2019-11-01T00:00:00-07:00,100866,51.88,745,1.83
2019-11-01T00:00:00-07:00,101965,34.62,9025,260.2
2019-11-01T00:00:00-07:00,100989,61.55,11887,0.58
2019-11-01T00:00:00-07:00,101964,53.41,13741,1.06
2019-11-01T00:00:00-07:00,100648,55.97,16284,0.69
2019-11-01T00:00:00-07:00,101918,53.96,15485,0.36
2019-11-01T00:00:00-07:00,5030,59.87,15339,0.62
2019-11-01T00:00:00-07:00,100865,56.26,16903,0.97
2019-11-01T00:00:00-07:00,101917,45.82,19316,0.43
2019-11-01T00:00:00-07:00,100841,67.86,15328,0.57
2019-11-01T00:00:00-07:00,1000036,63.08,19731,0.48
2019-11-01T00:00:00-07:00,5672,55.4,17016,0.83
2019-11-01T00:00:00-07:00,100812,35.47,14906,1.01
2019-11-01T00:00:00-07:00,100649,58.23,19608,0.66
2019-11-01T00:00:00-07:00,101916,41.42,12805,0.38
2019-11-01T00:00:00-07:00,100864,51.92,16051,1.05
2019-11-01T00:00:00-07:00,101915,31.76,10012,0.49
2019-11-01T00:00:00-07:00,5065,57.35,18129,0.65
2019-11-01T00:00:00-07:00,1000068,63.77,21641,2.25
2019-11-01T00:00:00-07:00,101913,41.69,18686,0.5
2019-11-01T00:00:00-07:00,100650,59.6,18579,0.64
2019-11-01T00:00:00-07:00,100188,50.64,15547,0.93
2019-11-01T00:00:00-07:00,101912,38.02,18599,0.55
2019-11-01T00:00:00-07:00,1000103,46.75,4901,1.21
2019-11-01T00:00:00-07:00,100863,45.56,20531,1.2
2019-11-01T00:00:00-07:00,101779,34.9,6727,7.44
2019-11-01T00:00:00-07:00,100329,44.56,23734,0.42
2019-11-01T00:00:00-07:00,100988,55.94,13962,0.64
2019-11-01T00:00:00-07:00,5673,59.05,15965,0.78
2019-11-01T00:00:00-07:00,1000175,57.83,18313,0.66
2019-11-01T00:00:00-07:00,101772,23.12,6941,3.13
2019-11-01T00:00:00-07:00,100862,49.75,17019,1.6
2019-11-01T00:00:00-07:00,100842,51.43,12931,0.9
2019-11-01T00:00:00-07:00,101769,49.9,1839,1.09
2019-11-01T00:00:00-07:00,100005,47.48,16213,0.3
2019-11-01T00:00:00-07:00,101768,54.8,6013,0.99
2019-11-01T00:00:00-07:00,100651,56.61,7495,0.4
2019-11-01T00:00:00-07:00,1000102,59.79,5442,0.38
2019-11-01T00:00:00-07:00,5783,54.36,8549,0.99
2019-11-01T00:00:00-07:00,101761,61.25,1836,4.52
2019-11-01T00:00:00-07:00,101760,58.78,2490,4.71
2019-11-01T00:00:00-07:00,100291,43.62,12283,1.04
2019-11-01T00:00:00-07:00,5675,53.44,16847,0.86
2019-11-01T00:00:00-07:00,100652,56.62,13546,0.4
2019-11-01T00:00:00-07:00,1000165,59.32,8966,0.5
2019-11-01T00:00:00-07:00,101755,56.53,2048,0.79
2019-11-01T00:00:00-07:00,101754,61.88,965,0.72
2019-11-01T00:00:00-07:00,100653,60.84,14853,0.37
2019-11-01T00:00:00-07:00,1000101,55.24,13442,0.41
2019-11-01T00:00:00-07:00,100861,47.8,17275,1.66
2019-11-01T00:00:00-07:00,101753,57.01,2655,0.78
2019-11-01T00:00:00-07:00,100987,50.29,16284,0.72
2019-11-01T00:00:00-07:00,1000035,0,1,
2019-11-01T00:00:00-07:00,101752,55.29,1026,2.75
2019-11-01T00:00:00-07:00,5765,57.33,7833,0.88
2019-11-01T00:00:00-07:00,100860,44.32,14027,1.79
2019-11-01T00:00:00-07:00,101751,50.94,1872,2.98
2019-11-01T00:00:00-07:00,100660,44.75,13476,0.82
2019-11-01T00:00:00-07:00,5676,52.07,21586,0.89
2019-11-01T00:00:00-07:00,100843,54.35,17276,0.86
2019-11-01T00:00:00-07:00,100393,51.15,17164,0.17
2019-11-01T00:00:00-07:00,1000100,59.63,12051,0.49
2019-11-01T00:00:00-07:00,101750,54.87,1192,2.77
2019-11-01T00:00:00-07:00,100330,52.29,7083,0.36
2019-11-01T00:00:00-07:00,100859,50.55,16052,1.82
2019-11-01T00:00:00-07:00,101749,51.4,2594,2.95
2019-11-01T00:00:00-07:00,100661,46.03,17434,0.8
2019-11-01T00:00:00-07:00,101748,53.53,2381,1.15
2019-11-01T00:00:00-07:00,101038,66.38,7509,1.11
2019-11-01T00:00:00-07:00,101747,52.9,1129,1.17
2019-11-01T00:00:00-07:00,100858,50.51,16379,1.82
2019-11-01T00:00:00-07:00,101746,54.39,2013,1.14
2019-11-01T00:00:00-07:00,5677,55.53,18635,0.83
2019-11-01T00:00:00-07:00,1000099,58.17,15812,0.5
2019-11-01T00:00:00-07:00,100180,55.9,8076,1.2
2019-11-01T00:00:00-07:00,100142,50.23,16090,0.96
2019-11-01T00:00:00-07:00,101745,48.23,1988,0.61
2019-11-01T00:00:00-07:00,100004,45.46,16781,0.32
2019-11-01T00:00:00-07:00,100187,51.45,3226,1.31
2019-11-01T00:00:00-07:00,100857,44.35,17991,2.07
2019-11-01T00:00:00-07:00,101744,39.43,9087,0.75
2019-11-01T00:00:00-07:00,100662,,0,
2019-11-01T00:00:00-07:00,100813,40.72,19969,0.88
2019-11-01T00:00:00-07:00,5784,54.46,12551,0.99
2019-11-01T00:00:00-07:00,101743,57.48,1995,0.3
2019-11-01T00:00:00-07:00,100669,38.83,16390,0.98
2019-11-01T00:00:00-07:00,5031,54.3,20494,0.68
2019-11-01T00:00:00-07:00,101742,52.78,7319,0.33
2019-11-01T00:00:00-07:00,5678,55,16904,0.6
2019-11-01T00:00:00-07:00,5785,51.65,24237,0.98
2019-11-01T00:00:00-07:00,101741,62.1,2345,0.6
2019-11-01T00:00:00-07:00,100670,39.74,19051,0.96
2019-11-01T00:00:00-07:00,1000034,58.74,24814,0.51
2019-11-01T00:00:00-07:00,1000069,69.7,20182,2.06
2019-11-01T00:00:00-07:00,101740,54.56,9590,0.68
2019-11-01T00:00:00-07:00,100848,70.64,9347,0.6
2019-11-01T00:00:00-07:00,101711,70.64,2129,0.42
2019-11-01T00:00:00-07:00,100844,59.53,16322,0.78
2019-11-01T00:00:00-07:00,101710,63.68,3890,0.47
2019-11-01T00:00:00-07:00,100671,42.59,17941,0.89
2019-11-01T00:00:00-07:00,101706,62.69,1921,0.48
2019-11-01T00:00:00-07:00,1000098,59.75,14449,0.64
2019-11-01T00:00:00-07:00,100847,64.71,16132,0.66
2019-11-01T00:00:00-07:00,5679,52.52,17969,0.63
2019-11-01T00:00:00-07:00,100331,52.84,9370,0.26
2019-11-01T00:00:00-07:00,5069,59.77,6175,0.65
2019-11-01T00:00:00-07:00,1000174,60,18860,0.63
