starttime,detector_id,speed,volume,traveltime
2020-03-01T00:00:00-08:00,101141,50.1,16268,0.82
2020-03-01T00:00:00-08:00,102007,60.26,9147,0.33
2020-03-01T00:00:00-08:00,102005,54.1,15608,0.37
2020-03-01T00:00:00-08:00,5796,59.33,9197,1.12
2020-03-01T00:00:00-08:00,101143,51.71,20488,0.52
2020-03-01T00:00:00-08:00,1000135,69.49,7664,1.17
2020-03-01T00:00:00-08:00,102004,60.02,7989,0.68
2020-03-01T00:00:00-08:00,101144,51.7,22375,0.52
2020-03-01T00:00:00-08:00,5758,59.98,5678,0.37
2020-03-01T00:00:00-08:00,101146,54.7,7329,1.04
2020-03-01T00:00:00-08:00,100327,69.55,6581,0.08
2020-03-01T00:00:00-08:00,102003,59.62,11486,0.68
2020-03-01T00:00:00-08:00,5031,56.79,15326,0.65
2020-03-01T00:00:00-08:00,102002,59.04,12746,0.69
2020-03-01T00:00:00-08:00,5795,56.18,20038,1.19
2020-03-01T00:00:00-08:00,101147,55.95,14095,1.02
2020-03-01T00:00:00-08:00,102001,59.93,7351,0.68
2020-03-01T00:00:00-08:00,101148,59.07,16678,0.96
2020-03-01T00:00:00-08:00,5759,59.63,7395,0.37
2020-03-01T00:00:00-08:00,100547,65.61,3774,0.44
2020-03-01T00:00:00-08:00,101149,63.12,12788,0.9
2020-03-01T00:00:00-08:00,5007,53.01,19194,0.54
2020-03-01T00:00:00-08:00,101992,56.78,3391,16.61
2020-03-01T00:00:00-08:00,100648,58.54,17643,0.66
2020-03-01T00:00:00-08:00,101991,28.09,1041,1.46
2020-03-01T00:00:00-08:00,5794,57.08,13036,0.7
2020-03-01T00:00:00-08:00,101150,52.48,26264,0.45
2020-03-01T00:00:00-08:00,101990,,0,
2020-03-01T00:00:00-08:00,101151,58.07,23580,0.41
2020-03-01T00:00:00-08:00,5760,60,5720,1.07
2020-03-01T00:00:00-08:00,101152,61.14,23339,0.39
2020-03-01T00:00:00-08:00,101989,49.63,6882,18.62
2020-03-01T00:00:00-08:00,101153,56.28,20113,0.78
2020-03-01T00:00:00-08:00,101988,49.89,4694,18.53
2020-03-01T00:00:00-08:00,5793,56.73,18038,0.7
2020-03-01T00:00:00-08:00,101987,55.72,13630,0.81
2020-03-01T00:00:00-08:00,101154,58.26,24085,0.76
2020-03-01T00:00:00-08:00,5761,60,2926,1.07
2020-03-01T00:00:00-08:00,1000134,72.52,14636,25.05
2020-03-01T00:00:00-08:00,101155,60.5,21787,0.73
2020-03-01T00:00:00-08:00,101986,60.05,15906,0.75
