starttime,detector_id,speed,volume,traveltime
2020-04-01T00:00:00-07:00,102285,60.28,13042,0.39
2020-04-01T00:00:00-07:00,5752,62.96,5675,0.54
2020-04-01T00:00:00-07:00,101187,62.01,2069,0.95
2020-04-01T00:00:00-07:00,5792,54.87,10445,0.73
2020-04-01T00:00:00-07:00,1000073,52.01,9799,0.99
2020-04-01T00:00:00-07:00,5791,65.93,9349,0.61
2020-04-01T00:00:00-07:00,1000074,63.3,11449,0.81
2020-04-01T00:00:00-07:00,5790,60.12,14117,0.66
2020-04-01T00:00:00-07:00,5008,57.47,15752,0.5
2020-04-01T00:00:00-07:00,5789,56.7,11046,0.7
2020-04-01T00:00:00-07:00,1000075,69.78,6951,0.74
2020-04-01T00:00:00-07:00,5756,58.06,10313,0.38
2020-04-01T00:00:00-07:00,5788,54.72,6590,0.93
2020-04-01T00:00:00-07:00,1000076,54.91,9559,0.51
2020-04-01T00:00:00-07:00,5787,53.31,11989,0.95
2020-04-01T00:00:00-07:00,5786,54.89,5267,0.92
2020-04-01T00:00:00-07:00,1000077,62.6,12841,0.45
2020-04-01T00:00:00-07:00,1000098,59.86,5908,0.64
2020-04-01T00:00:00-07:00,5785,53.38,14005,0.95
2020-04-01T00:00:00-07:00,1000078,69.42,7428,0.41
2020-04-01T00:00:00-07:00,5757,59.94,4536,0.37
2020-04-01T00:00:00-07:00,5784,54.49,7253,0.99
2020-04-01T00:00:00-07:00,1000079,56.23,10583,1.06
2020-04-01T00:00:00-07:00,5783,54.77,5273,0.99
2020-04-01T00:00:00-07:00,5782,54.98,4050,0.98
2020-04-01T00:00:00-07:00,1000080,61.44,12666,0.97
2020-04-01T00:00:00-07:00,5781,53.91,9417,1
2020-04-01T00:00:00-07:00,1000081,69.59,7591,0.85
2020-04-01T00:00:00-07:00,1000097,58.33,11320,0.65
2020-04-01T00:00:00-07:00,5780,54.28,13859,0.8
2020-04-01T00:00:00-07:00,5758,59.67,4762,0.37
2020-04-01T00:00:00-07:00,101090,54.93,10914,0.23
2020-04-01T00:00:00-07:00,1000185,57.92,11904,1.14
2020-04-01T00:00:00-07:00,5779,59.51,6204,0.73
2020-04-01T00:00:00-07:00,1000082,58.09,2265,0.49
2020-04-01T00:00:00-07:00,5778,59.17,7230,0.73
2020-04-01T00:00:00-07:00,1000083,45.13,19400,0.62
2020-04-01T00:00:00-07:00,101167,67.45,8373,2.12
2020-04-01T00:00:00-07:00,5777,54.54,12503,0.79
2020-04-01T00:00:00-07:00,5776,59.64,7121,0.64
2020-04-01T00:00:00-07:00,1000096,59.77,4288,0.64
2020-04-01T00:00:00-07:00,5759,59.49,5925,0.37
2020-04-01T00:00:00-07:00,1000084,59.08,6336,0.5
2020-04-01T00:00:00-07:00,5775,55.6,11355,0.69
2020-04-01T00:00:00-07:00,1000085,51.06,10172,0.58
2020-04-01T00:00:00-07:00,5774,59.78,6384,0.64
2020-04-01T00:00:00-07:00,1000086,59.94,4570,0.5
2020-04-01T00:00:00-07:00,5007,55.56,19674,0.52
2020-04-01T00:00:00-07:00,5773,53.9,13746,0.71
2020-04-01T00:00:00-07:00,5772,59.84,3160,1.26
2020-04-01T00:00:00-07:00,1000087,58.48,6476,0.57
2020-04-01T00:00:00-07:00,5760,59.88,4557,1.07
2020-04-01T00:00:00-07:00,101161,69.04,7478,0.73
2020-04-01T00:00:00-07:00,5771,59.44,3793,1.27
2020-04-01T00:00:00-07:00,1000088,56.31,11254,0.6
2020-04-01T00:00:00-07:00,5770,59.85,3040,1.26
2020-04-01T00:00:00-07:00,5769,59.01,4154,1.28
2020-04-01T00:00:00-07:00,1000089,59.22,8924,0.96
2020-04-01T00:00:00-07:00,1000095,57.59,13616,0.66
2020-04-01T00:00:00-07:00,5768,56.33,11831,1.2
2020-04-01T00:00:00-07:00,1000090,59.91,4123,0.95
2020-04-01T00:00:00-07:00,5761,60,2456,1.07
2020-04-01T00:00:00-07:00,101132,62.58,4340,0.83
2020-04-01T00:00:00-07:00,5767,57.07,10278,1.19
2020-04-01T00:00:00-07:00,1000091,59.27,8971,0.98
2020-04-01T00:00:00-07:00,5766,59.8,3956,0.85
2020-04-01T00:00:00-07:00,5765,58.52,4870,0.87
2020-04-01T00:00:00-07:00,1000092,60.01,4093,0.96
2020-04-01T00:00:00-07:00,5764,56.5,10997,0.9
2020-04-01T00:00:00-07:00,1000093,58.74,10986,1.01
2020-04-01T00:00:00-07:00,1000094,59.9,4141,0.99
2020-04-01T00:00:00-07:00,5762,59.87,4584,1.07
2020-04-01T00:00:00-07:00,5763,60,2953,1.07
2020-04-01T00:00:00-07:00,101089,51.02,12532,0.25
