starttime,detector_id,speed,volume,traveltime
2019-12-01T00:00:00-08:00,5032,58.5,13451,0.63
2019-12-01T00:00:00-08:00,100989,68.47,9524,0.53
2019-12-01T00:00:00-08:00,101141,50.61,16428,0.81
2019-12-01T00:00:00-08:00,100988,60.65,14614,0.59
2019-12-01T00:00:00-08:00,101062,54.83,29015,0.21
2019-12-01T00:00:00-08:00,101143,53.22,19263,0.5
2019-12-01T00:00:00-08:00,100987,52.58,15174,0.68
2019-12-01T00:00:00-08:00,100986,11.48,8503,4.31
2019-12-01T00:00:00-08:00,100985,8.93,12617,5.54
2019-12-01T00:00:00-08:00,101049,62.61,15512,0.8
2019-12-01T00:00:00-08:00,101093,59.02,17009,0.41
2019-12-01T00:00:00-08:00,101144,53.64,22733,0.5
2019-12-01T00:00:00-08:00,100980,59.71,10698,1.17
2019-12-01T00:00:00-08:00,101146,52.77,7020,1.08
2019-12-01T00:00:00-08:00,100979,54.34,15708,1.29
2019-12-01T00:00:00-08:00,101063,58.95,22743,0.2
2019-12-01T00:00:00-08:00,101105,55.23,23410,0.85
2019-12-01T00:00:00-08:00,101147,54.34,13796,1.05
2019-12-01T00:00:00-08:00,100978,53.74,13205,1.3
2019-12-01T00:00:00-08:00,101148,57.46,17129,0.99
2019-12-01T00:00:00-08:00,100977,58.42,11481,1.25
2019-12-01T00:00:00-08:00,101092,56.1,13637,0.43
2019-12-01T00:00:00-08:00,100976,54.36,15904,1.34
2019-12-01T00:00:00-08:00,101149,61.38,13469,0.93
2019-12-01T00:00:00-08:00,100975,51.5,15761,1.42
2019-12-01T00:00:00-08:00,101150,54.97,24618,0.43
2019-12-01T00:00:00-08:00,101064,63.92,15910,0.18
2019-12-01T00:00:00-08:00,100974,64.04,10760,0.4
2019-12-01T00:00:00-08:00,101151,59.38,23182,0.4
2019-12-01T00:00:00-08:00,100973,66.29,15418,0.38
2019-12-01T00:00:00-08:00,101152,62.59,22313,0.38
2019-12-01T00:00:00-08:00,101091,56.92,22805,0.22
2019-12-01T00:00:00-08:00,100972,57.31,7468,0.44
2019-12-01T00:00:00-08:00,101153,57.9,18702,0.76
2019-12-01T00:00:00-08:00,101065,68,12,0.8
2019-12-01T00:00:00-08:00,100971,62.75,12939,0.78
2019-12-01T00:00:00-08:00,101154,59.62,24077,0.74
2019-12-01T00:00:00-08:00,1000173,66.55,13207,0.57
2019-12-01T00:00:00-08:00,100970,57.82,18393,0.85
2019-12-01T00:00:00-08:00,101155,62.49,20713,0.71
2019-12-01T00:00:00-08:00,1000171,54.81,11676,1.02
2019-12-01T00:00:00-08:00,101048,56.33,17774,0.89
2019-12-01T00:00:00-08:00,101090,51.15,19720,0.25
2019-12-01T00:00:00-08:00,100969,63.96,15603,0.45
2019-12-01T00:00:00-08:00,101066,76.14,21,0.72
2019-12-01T00:00:00-08:00,101106,61.83,17189,0.76
2019-12-01T00:00:00-08:00,100968,61.95,15559,0.46
2019-12-01T00:00:00-08:00,101156,56.25,15975,0.49
2019-12-01T00:00:00-08:00,100967,59.16,15399,0.41
2019-12-01T00:00:00-08:00,101157,57.49,24750,0.48
2019-12-01T00:00:00-08:00,100966,60.47,14018,0.4
2019-12-01T00:00:00-08:00,101158,60.84,21425,0.45
2019-12-01T00:00:00-08:00,101089,47.74,15881,0.26
2019-12-01T00:00:00-08:00,101067,80.38,16,0.68
2019-12-01T00:00:00-08:00,100965,54.2,14248,0.43
2019-12-01T00:00:00-08:00,101160,65.28,11829,0.77
2019-12-01T00:00:00-08:00,100964,57.93,14781,0.4
2019-12-01T00:00:00-08:00,101161,67.4,9759,0.74
2019-12-01T00:00:00-08:00,100963,60.08,17410,0.39
2019-12-01T00:00:00-08:00,101162,54.07,2880,2.34
2019-12-01T00:00:00-08:00,100962,66.77,14406,0.35
2019-12-01T00:00:00-08:00,101163,58.31,8068,2.17
2019-12-01T00:00:00-08:00,101068,64.69,7695,0.38
2019-12-01T00:00:00-08:00,100961,66.67,15440,1.17
2019-12-01T00:00:00-08:00,100960,71.38,14044,1.09
2019-12-01T00:00:00-08:00,101164,63.94,7925,1.98
2019-12-01T00:00:00-08:00,100955,59.89,14405,0.78
2019-12-01T00:00:00-08:00,101165,60.37,11499,2.37
2019-12-01T00:00:00-08:00,101076,68.2,10864,0.7
2019-12-01T00:00:00-08:00,100954,57.46,18858,0.81
2019-12-01T00:00:00-08:00,101166,60.79,20299,2.35
2019-12-01T00:00:00-08:00,101069,55.29,14997,0.44
2019-12-01T00:00:00-08:00,100953,50.74,29436,0.92
2019-12-01T00:00:00-08:00,101167,66.06,12205,2.17
2019-12-01T00:00:00-08:00,100940,61.58,12343,1.47
2019-12-01T00:00:00-08:00,101168,64.43,10653,0.99
2019-12-01T00:00:00-08:00,100939,60.87,18860,1.48
