starttime,detector_id,speed,volume,traveltime
2020-05-01T00:00:00-07:00,102243,65.92,16267,0.41
2020-05-01T00:00:00-07:00,100280,60.4,1528,0.64
2020-05-01T00:00:00-07:00,1000011,58.3,12639,1.01
2020-05-01T00:00:00-07:00,1000038,55.13,15357,0.56
2020-05-01T00:00:00-07:00,100271,65.1,14236,0.76
2020-05-01T00:00:00-07:00,1000183,54.86,7849,1.02
2020-05-01T00:00:00-07:00,100118,63.33,15165,0.57
2020-05-01T00:00:00-07:00,5042,52.28,12331,0.92
2020-05-01T00:00:00-07:00,100270,60.49,19690,0.82
2020-05-01T00:00:00-07:00,1000012,59.88,5880,0.99
2020-05-01T00:00:00-07:00,100269,56.06,15142,0.88
2020-05-01T00:00:00-07:00,1000037,58.78,9108,0.52
2020-05-01T00:00:00-07:00,1000013,58.06,15529,0.66
2020-05-01T00:00:00-07:00,100119,57.28,23508,0.45
2020-05-01T00:00:00-07:00,100193,67.12,8348,0.82
2020-05-01T00:00:00-07:00,100192,61.24,18230,0.9
2020-05-01T00:00:00-07:00,1000014,59.89,8472,0.64
2020-05-01T00:00:00-07:00,100120,63.97,15921,0.4
2020-05-01T00:00:00-07:00,101096,57.94,22814,0.66
2020-05-01T00:00:00-07:00,100191,64.06,8289,0.83
2020-05-01T00:00:00-07:00,1000015,58.28,14287,0.65
2020-05-01T00:00:00-07:00,100190,59.63,9683,0.89
2020-05-01T00:00:00-07:00,1000036,64.55,10613,0.46
2020-05-01T00:00:00-07:00,100189,60.22,10837,0.78
2020-05-01T00:00:00-07:00,1000016,59.73,8996,0.64
2020-05-01T00:00:00-07:00,100127,58.95,22625,0.48
2020-05-01T00:00:00-07:00,100188,53.53,20289,0.88
2020-05-01T00:00:00-07:00,1000017,58.54,10898,0.5
2020-05-01T00:00:00-07:00,1000035,,0,
2020-05-01T00:00:00-07:00,100187,34.61,12200,1.94
2020-05-01T00:00:00-07:00,1000018,59.7,7129,0.49
2020-05-01T00:00:00-07:00,100128,64.92,14535,0.44
2020-05-01T00:00:00-07:00,100186,28.73,6266,2.34
2020-05-01T00:00:00-07:00,100185,64.33,5960,0.98
2020-05-01T00:00:00-07:00,1000019,59.94,2962,0.38
2020-05-01T00:00:00-07:00,1000034,61.69,18497,0.49
2020-05-01T00:00:00-07:00,100141,58.47,20378,0.83
2020-05-01T00:00:00-07:00,101166,62.15,21219,2.3
2020-05-01T00:00:00-07:00,100184,60,11436,1.05
2020-05-01T00:00:00-07:00,1000020,57.51,9782,0.39
2020-05-01T00:00:00-07:00,100183,64.15,3925,0.99
2020-05-01T00:00:00-07:00,100182,59.19,9959,1.07
