detectorid,stationid,milepost,lanenumber
100965,232,24.92,1
100953,1140,23.41,3
100954,1140,23.41,2
100955,1140,23.41,1
100938,1046,16.2,3
100939,1046,16.2,2
100940,1046,16.2,1
100935,1045,15.09,3
100936,1045,15.09,2
100937,1045,15.09,1
100932,1124,14.56,3
100933,1124,14.56,2
100934,1124,14.56,1
100925,1043,12.94,4
100926,1043,12.94,3
100927,1043,12.94,2
101764,10347,0,4
100928,1043,12.94,1
100922,1042,11.05,3
100923,1042,11.05,2
100924,1042,11.05,1
100919,1144,10.27,3
100920,1144,10.27,2
100921,1144,10.27,1
100909,1116,6.88,2
100910,1116,6.88,1
100907,1113,3.55,2
100908,1113,3.55,1
101020,3170,4.2,2
101021,3170,4.2,1
100546,3109,1.77,2
100547,3109,1.77,1
100532,3108,1.15,3
100533,3108,1.15,2
100534,3108,1.15,1
100527,3111,2.12,2
100528,3111,2.12,1
100364,1133,2.46,3
100365,1133,2.46,2
100366,1133,2.46,1
100362,1132,2.3,2
100363,1132,2.3,1
102172,10556,2.64,3
102173,10556,2.64,2
102174,10556,2.64,1
101283,3137,6.7,2
101284,3137,6.7,1
101135,3183,16.9,2
101136,3183,16.9,1
101132,3151,15.94,3
101133,3151,15.94,2
101134,3151,15.94,1
101129,3149,15.17,3
101130,3149,15.17,2
101131,3149,15.17,1
101126,3147,14.4,3
101127,3147,14.4,2
101128,3147,14.4,1
101123,3145,13.04,3
101124,3145,13.04,2
101125,3145,13.04,1
101120,3143,12.16,3
101121,3143,12.16,2
101122,3143,12.16,1
101117,3141,11.47,3
101118,3141,11.47,2
101119,3141,11.47,1
101114,3139,10.04,3
101115,3139,10.04,2
101116,3139,10.04,1
101107,3135,5.82,3
101108,3135,5.82,2
101109,3135,5.82,1
101104,3133,5.03,3
101105,3133,5.03,2
101106,3133,5.03,1
101101,3131,4.25,3
101102,3131,4.25,2
101103,3131,4.25,1
101098,3130,3.36,3
101099,3130,3.36,2
101100,3130,3.36,1
101095,3129,1.82,3
101096,3129,1.82,2
101097,3129,1.82,1
101092,3127,1.21,3
101093,3127,1.21,2
101094,3127,1.21,1
101089,3125,0.45,3
101090,3125,0.45,2
101091,3125,0.45,1
100887,1127,3.69,3
100888,1127,3.69,2
100889,1127,3.69,1
100884,1057,2.6,3
100885,1057,2.6,2
100886,1057,2.6,1
102185,10559,70.16,4
102186,10559,70.16,3
102187,10559,70.16,2
102188,10559,70.16,1
102178,10554,69.77,4
102179,10554,69.77,3
102180,10554,69.77,2
102181,10554,69.77,1
102159,10550,72.65,3
102160,10550,72.65,2
102161,10550,72.65,1
102087,10381,5.43,3
102088,10381,5.43,2
102089,10381,5.43,1
101967,10521,6.33,2
101968,10521,6.33,1
101748,10338,54.13,1
101761,10346,61.82,1
101755,10342,52.47,1
101760,10345,61.82,1
101768,10348,57.52,1
101746,10337,54.13,2
101747,10337,54.13,1
101753,10341,52.47,2
101754,10341,52.47,1
100638,10134,69.31,2
100639,10134,69.31,1
100598,3209,69.1,2
100599,3209,69.1,1
100634,10132,69.31,1
100177,10023,8.48,1
100178,10024,9.42,2
100179,10024,9.42,1
100182,10026,11.66,2
100183,10026,11.66,1
100180,10025,10.05,2
100181,10025,10.05,1
100174,10022,7.65,2
100175,10022,7.65,1
100192,10031,7.65,2
100193,10031,7.65,1
100188,10029,9.42,2
100189,10029,9.42,1
100184,10027,11.66,2
100185,10027,11.66,1
100190,10030,8.48,2
100191,10030,8.48,1
100186,10028,10.05,2
100187,10028,10.05,1
101744,10336,0.32,2
101745,10336,0.32,1
101765,10347,0,3
101740,10334,0.9,2
101741,10334,0.9,1
101742,10335,0.66,2
101743,10335,0.66,1
101285,10313,252.3,4
101286,10313,252.3,3
101287,10313,252.3,2
101288,10313,252.3,1
102311,1054,17.5,4
102312,1054,17.5,3
102313,1054,17.5,2
102314,1054,17.5,1
100966,1115,6.25,2
100967,1115,6.25,1
102303,1050,24.66,4
102304,1050,24.66,3
102305,1050,24.66,2
102306,1050,24.66,1
102289,1143,21.12,5
102290,1143,21.12,4
102291,1143,21.12,3
