detectorid,stationid,milepost,lanenumber
1000098,10435,3.76,1
1000097,10435,3.76,2
102004,1601,3.05,1
102003,1601,3.05,2
1000088,1599,2.4,2
1000087,1599,2.4,1
5004,1501,1.55,2
5003,1501,1.55,1
1000100,10428,0.91,1
1000099,10428,0.91,2
5756,1629,0.58,2
5757,1629,0.58,1
1000102,10417,0.17,1
1000101,10417,0.17,2
1000177,10607,1.93,2
1000178,10607,1.93,1
5708,1617,3.97,1
5707,1617,3.97,2
5785,1645,1.46,2
5786,1645,1.46,1
5782,1643,0.66,1
5781,1643,0.66,2
1000180,10604,3.32,2
1000181,10604,3.32,1
1000182,10603,2.35,2
1000183,10603,2.35,1
1000110,10434,36.67,1
1000109,10434,36.67,2
5700,1614,35.62,1
5699,1614,35.62,2
5078,1535,34.81,1
5079,1535,34.81,2
1000112,10439,34.34,1
1000111,10439,34.34,2
5778,1641,33.45,1
5777,1641,33.45,2
5093,1545,32.9,2
5092,1545,32.9,1
5692,1613,32.22,1
5691,1613,32.22,2
5774,1639,31.53,1
5773,1639,31.53,2
1000113,10401,30.94,2
1000114,10401,30.94,1
1000116,10446,30.38,2
1000117,10446,30.38,1
1000115,10446,30.38,3
1000118,10391,29.87,3
1000120,10391,29.87,1
1000119,10391,29.87,2
1000121,10413,29.36,3
1000123,10413,29.36,1
1000122,10413,29.36,2
1000124,10418,28.85,3
1000125,10418,28.85,2
1000126,10418,28.85,1
1000128,10388,28.36,2
1000127,10388,28.36,3
1000129,10388,28.36,1
5680,1610,27.8,2
5679,1610,27.8,3
5678,1610,27.8,4
5681,1610,27.8,1
5674,1608,27.26,1
5671,1608,27.26,4
5673,1608,27.26,2
5672,1608,27.26,3
1000135,10425,85.57,3
1000137,10425,85.57,1
1000136,10425,85.57,2
1000140,10415,83.85,1
1000138,10415,83.85,3
1000139,10415,83.85,2
1000142,10431,82.74,1
1000141,10431,82.74,2
1000143,10404,82.27,2
1000144,10404,82.27,1
1000146,10419,81.67,1
1000145,10419,81.67,2
1000147,10389,81.32,2
1000148,10389,81.32,1
1000149,10424,80.76,2
1000150,10424,80.76,1
5531,1989,76.54,1
5530,1989,76.54,2
5646,1595,74.75,1
5645,1595,74.75,2
5642,1593,73.26,2
